day_label,average_time,count,longitude,latitude,trips_dummy_variable
Dec 6,2024-12-06 14:11:53.992034048,15817,-123.26723,49.32755019770756,Trips
Dec 7,2024-12-07 14:00:14.259460352,15459,-123.26393344444445,49.32657949423792,Trips
Dec 8,2024-12-08 13:36:57.491968512,13198,-123.26063688888888,49.32044887819083,Trips
Dec 9,2024-12-09 13:23:30.779584000,13411,-123.25734033333333,49.321026419640646,Trips
Dec 10,2024-12-10 13:47:23.427109120,14165,-123.25404377777778,49.323070862143744,Trips
Dec 11,2024-12-11 13:47:43.957739520,14103,-123.25074722222222,49.32290275148699,Trips
Dec 12,2024-12-12 13:51:50.639771392,15393,-123.24745066666667,49.32640053773234,Trips
Dec 13,2024-12-13 14:09:36.651734784,16140,-123.24415411111111,49.328426,Trips
Dec 14,2024-12-14 13:54:44.449380096,15330,-123.24085755555555,49.32622971561338,Trips
Dec 15,2024-12-15 13:27:12.991591168,13676,-123.237561,49.321744957125155,Trips
Dec 16,2024-12-16 13:38:10.814580736,14087,-123.23426444444445,49.3228593680917,Trips
Dec 17,2024-12-17 13:27:31.412179968,14450,-123.23096788888888,49.32384362887237,Trips
Dec 18,2024-12-18 13:40:13.341208064,14138,-123.22767133333333,49.32299765266419,Trips
Dec 19,2024-12-19 13:39:28.301928704,14467,-123.22437477777778,49.32388972372986,Trips
Dec 20,2024-12-20 14:01:51.725840896,14984,-123.22107822222222,49.32529154969021,Trips
Dec 21,2024-12-21 13:50:43.166149120,13524,-123.21778166666667,49.32133281486989,Trips
Dec 22,2024-12-22 13:21:04.703337728,11744,-123.21448511111112,49.316506412143745,Trips
Dec 23,2024-12-23 13:37:14.669010944,12656,-123.21118855555555,49.31897926567534,Trips
Dec 24,2024-12-24 13:04:17.200223232,11637,-123.207892,49.31621628568773,Trips
Dec 25,2024-12-25 13:29:27.894711552,8339,-123.20459544444445,49.30727388333334,Trips
Dec 26,2024-12-26 13:51:46.709664768,10202,-123.20129888888889,49.31232533742256,Trips
Dec 27,2024-12-27 14:04:13.111695872,12543,-123.19800233333333,49.3186728704461,Trips
Dec 28,2024-12-28 13:48:28.934525696,12524,-123.19470577777778,49.31862135266419,Trips
Dec 29,2024-12-29 13:42:16.382132992,11776,-123.19140922222222,49.316593178934326,Trips
Dec 30,2024-12-30 13:43:17.510693376,12718,-123.18811266666667,49.3191473763321,Trips
Dec 31,2024-12-31 14:28:31.296146688,15597,-123.18481611111112,49.326953676022306,Trips
Jan 1,2025-01-01 12:33:31.569565952,11888,-123.18151955555555,49.31689686270136,Trips
Jan 2,2025-01-02 13:31:56.051678208,13197,-123.178223,49.32044616672862,Trips
